"ENTIDAD","FECHA","MUNICIPIO","CLAVE_ENTIDAD","CLAVE_MUNICIPIO","region","POBLACION","LATITUD","LONGITUD","Casos","Tasa_Casos_Positivos","Defunciones","Tasa_Defunciones","Negativos","Tasa_Casos_Negativos","Sospechosos","Tasa_Casos_Sospechosos"
"CIUDAD DE MEXICO",2020-05-05,"ALVARO OBREGON",9,10,"09010",759137,19.390806,-99.195413,51,6.71815495753731,6,0.790371171474977,41,5.40086967174568,19,2.5028420430041
"CIUDAD DE MEXICO",2020-05-06,"ALVARO OBREGON",9,10,"09010",759137,19.390806,-99.195413,51,6.71815495753731,6,0.790371171474977,53,6.98161201469563,9,1.18555675721247
"CIUDAD DE MEXICO",2020-05-07,"ALVARO OBREGON",9,10,"09010",759137,19.390806,-99.195413,42,5.53259820032484,7,0.92209970005414,31,4.08358438595405,6,0.790371171474977
"CIUDAD DE MEXICO",2020-05-08,"ALVARO OBREGON",9,10,"09010",759137,19.390806,-99.195413,55,7.24506907185396,10,1.31728528579163,46,6.05951231464149,11,1.44901381437079
"CIUDAD DE MEXICO",2020-05-09,"ALVARO OBREGON",9,10,"09010",759137,19.390806,-99.195413,43,5.66432672890401,11,1.44901381437079,28,3.68839880021656,10,1.31728528579163
"CIUDAD DE MEXICO",2020-05-10,"ALVARO OBREGON",9,10,"09010",759137,19.390806,-99.195413,68,8.95753994338308,13,1.71247087152912,44,5.79605525748317,14,1.84419940010828
"CIUDAD DE MEXICO",2020-05-11,"ALVARO OBREGON",9,10,"09010",759137,19.390806,-99.195413,65,8.56235435764559,9,1.18555675721247,48,6.32296937179982,10,1.31728528579163
"CIUDAD DE MEXICO",2020-05-12,"ALVARO OBREGON",9,10,"09010",759137,19.390806,-99.195413,45,5.92778378606233,10,1.31728528579163,48,6.32296937179982,9,1.18555675721247
"CIUDAD DE MEXICO",2020-05-13,"ALVARO OBREGON",9,10,"09010",759137,19.390806,-99.195413,31,4.08358438595405,8,1.0538282286333,44,5.79605525748317,10,1.31728528579163
"CIUDAD DE MEXICO",2020-05-14,"ALVARO OBREGON",9,10,"09010",759137,19.390806,-99.195413,43,5.66432672890401,9,1.18555675721247,39,5.13741261458735,9,1.18555675721247
"CIUDAD DE MEXICO",2020-05-15,"ALVARO OBREGON",9,10,"09010",759137,19.390806,-99.195413,63,8.29889730048726,11,1.44901381437079,49,6.45469790037898,14,1.84419940010828
"CIUDAD DE MEXICO",2020-05-16,"ALVARO OBREGON",9,10,"09010",759137,19.390806,-99.195413,49,6.45469790037898,15,1.97592792868744,40,5.26914114316652,8,1.0538282286333
"CIUDAD DE MEXICO",2020-05-17,"ALVARO OBREGON",9,10,"09010",759137,19.390806,-99.195413,45,5.92778378606233,9,1.18555675721247,38,5.00568408600819,18,2.37111351442493
"CIUDAD DE MEXICO",2020-05-18,"ALVARO OBREGON",9,10,"09010",759137,19.390806,-99.195413,72,9.48445405769973,9,1.18555675721247,58,7.64025465759145,12,1.58074234294995
"CIUDAD DE MEXICO",2020-05-19,"ALVARO OBREGON",9,10,"09010",759137,19.390806,-99.195413,57,7.50852612901229,5,0.658642642895815,30,3.95185585737489,7,0.92209970005414
"CIUDAD DE MEXICO",2020-05-20,"ALVARO OBREGON",9,10,"09010",759137,19.390806,-99.195413,91,11.9872961007038,7,0.92209970005414,80,10.538282286333,20,2.63457057158326
"CIUDAD DE MEXICO",2020-05-21,"ALVARO OBREGON",9,10,"09010",759137,19.390806,-99.195413,46,6.05951231464149,10,1.31728528579163,39,5.13741261458735,9,1.18555675721247
"CIUDAD DE MEXICO",2020-05-22,"ALVARO OBREGON",9,10,"09010",759137,19.390806,-99.195413,56,7.37679760043312,7,0.92209970005414,42,5.53259820032484,10,1.31728528579163
"CIUDAD DE MEXICO",2020-05-23,"ALVARO OBREGON",9,10,"09010",759137,19.390806,-99.195413,56,7.37679760043312,12,1.58074234294995,37,4.87395555742903,12,1.58074234294995
"CIUDAD DE MEXICO",2020-05-24,"ALVARO OBREGON",9,10,"09010",759137,19.390806,-99.195413,61,8.03544024332894,14,1.84419940010828,25,3.29321321447907,8,1.0538282286333
"CIUDAD DE MEXICO",2020-05-25,"ALVARO OBREGON",9,10,"09010",759137,19.390806,-99.195413,72,9.48445405769973,14,1.84419940010828,74,9.74791111485806,13,1.71247087152912
"CIUDAD DE MEXICO",2020-05-26,"ALVARO OBREGON",9,10,"09010",759137,19.390806,-99.195413,58,7.64025465759145,10,1.31728528579163,51,6.71815495753731,7,0.92209970005414
"CIUDAD DE MEXICO",2020-05-27,"ALVARO OBREGON",9,10,"09010",759137,19.390806,-99.195413,46,6.05951231464149,9,1.18555675721247,40,5.26914114316652,13,1.71247087152912
"CIUDAD DE MEXICO",2020-05-28,"ALVARO OBREGON",9,10,"09010",759137,19.390806,-99.195413,48,6.32296937179982,10,1.31728528579163,53,6.98161201469563,14,1.84419940010828
"CIUDAD DE MEXICO",2020-05-29,"ALVARO OBREGON",9,10,"09010",759137,19.390806,-99.195413,64,8.43062582906643,10,1.31728528579163,55,7.24506907185396,6,0.790371171474977
"CIUDAD DE MEXICO",2020-05-30,"ALVARO OBREGON",9,10,"09010",759137,19.390806,-99.195413,53,6.98161201469563,8,1.0538282286333,43,5.66432672890401,8,1.0538282286333
"CIUDAD DE MEXICO",2020-05-31,"ALVARO OBREGON",9,10,"09010",759137,19.390806,-99.195413,47,6.19124084322066,14,1.84419940010828,34,4.47876997169154,10,1.31728528579163
"CIUDAD DE MEXICO",2020-06-01,"ALVARO OBREGON",9,10,"09010",759137,19.390806,-99.195413,96,12.6459387435996,12,1.58074234294995,91,11.9872961007038,16,2.10765645726661
